8.0 0:0.5 1:0.03486750348675035 2:0.02451518477863154 3:0.02494877730146969 4:0.0030263571290293292 5:0.8181818181818182 6:0.27185234456548235 7:0.001738717663309941 8:0.0
8.0 0:0.5 1:0.07810320781032078 2:0.061836809366995975 3:0.023081673162939624 4:0.003137925615233913 5:0.9090909090909091 6:0.22242772224245708 7:0.0023515340914148806 8:0.0
8.0 0:0.6666666666666666 1:0.02510460251046025 2:0.034394438346139776 3:0.013873532297024408 4:0.0019167821521703745 5:0.9090909090909091 6:0.2909707788383711 7:0.0011385095115675119 8:0.0
7.0 0:1.0 1:0.19735006973500696 2:0.028905964141968533 3:0.0003136298106037883 4:4.062707022399878e-06 5:1.0 6:0.25129507023380016 7:0.0 8:0.0
7.0 0:0.25 1:0.06555090655509066 2:0.020490303695572632 3:0.012835666889398707 4:0.00024718565679731155 5:0.5454545454545454 6:0.411711412999154 7:0.0001414907212674606 8:0.0
7.0 0:0.5833333333333334 1:0.08786610878661087 2:0.020124405415294547 3:0.0058742197121876985 4:0.00010728539629614045 5:0.6363636363636364 6:0.4859478682892548 7:0.0 8:0.0
7.0 0:0.5 1:0.09414225941422594 2:0.05634833516282473 3:0.021129151658168435 4:0.004115200585757788 5:0.8181818181818182 6:0.38443525567571013 7:0.0035427437672409796 8:0.0
7.0 0:0.3333333333333333 1:0.11506276150627615 2:0.15404317599707282 3:0.026798213849422492 4:0.004138687060156449 5:0.7272727272727273 6:0.6072097811205841 7:5.7740065495577867e-05 8:0.012107005375751984
7.0 0:0.5833333333333334 1:0.6645746164574616 2:0.26930113428466884 3:0.009380718149943802 4:0.0016131356437239753 5:0.9090909090909091 6:0.16007468373084296 7:0.001654219143831874 8:0.0
7.0 0:0.5833333333333334 1:0.02510460251046025 2:0.01756311745334797 3:0.021655893063695614 4:0.0031063221443071174 5:0.9090909090909091 6:0.22052699079759658 7:0.0017593058957399445 8:0.0
